Stage_1_RAW_Column,Stage_2_PREPROCESSED_Column,Stage_3_CLASSIFIED_Column,Status,RAW_Sample_Value,PREPROCESSED_Sample_Value,CLASSIFIED_Sample_Value,Transformation,Notes
Arrival Date,Arrival Date,Arrival Date,KEPT,2023-12-31,2023-08-11,2024-09-01,Kept,
Bill of Lading Number,Bill of Lading Number,Bill of Lading Number,KEPT,GLNLPORCHERAFT3,FSHP2307091063,MAETVNL72460901,Kept,
Bill of Lading Type,N/A,N/A,DROPPED,Simple,,,Dropped,
Cargo,,,KEPT,,,,Kept,
Cargo Detail,,,KEPT,,,,Kept,
Carrier,Carrier,Carrier,KEPT,GLNL - Galene Logistics Inc,"FSHP - Formel, Stevenson Freight Services Llc",MAET - Maersk Tankers,Kept,
Category,N/A,N/A,DROPPED,,,,Dropped,
Consignee,Consignee,Consignee,KEPT,Fire Protection Service,Dr. Jane Reynolds Dba Paws Veterina,Exxonmobil Production Co.,Kept,
Consignee (Original Format),Consignee (Original Format),Consignee (Original Format),KEPT,"FIRE PROTECTION SERVICES
8050, Harrisburg Blvd
Houston
Texas
77012
United States","DR. JANE REYNOLDS DBA PAWS VETERINA
PO BOX 502235
ST. THOMAS VI 00805
TE340-775-6623","EXXONMOBILE PRODUCTION SOLUTION
COMPANY CARE OF 22777 SPRINGWOODS
VILLAGE PARKWAY SPRING TX 77389",Kept,
Consignee Address,N/A,N/A,DROPPED,"8050, Harrisburg Blvd",,,Dropped,
Consignee City,N/A,N/A,DROPPED,Houston,,,Dropped,
Consignee Country,N/A,N/A,DROPPED,United States,,,Dropped,
Consignee D-U-N-S®,N/A,N/A,DROPPED,80861768.0,,,Dropped,
Consignee Domestic HQ,N/A,N/A,DROPPED,Technip,,,Dropped,
Consignee Domestic HQ Address,N/A,N/A,DROPPED,United States,,,Dropped,
Consignee Domestic HQ D-U-N-S®,N/A,N/A,DROPPED,800763369.0,,,Dropped,
Consignee Email 1,N/A,N/A,DROPPED,sales@fps-usa.com,,,Dropped,
Consignee Email 2,N/A,N/A,DROPPED,i@chrobinson.com,,,Dropped,
Consignee Email 3,N/A,N/A,DROPPED,raiz@chrobinson.com,,,Dropped,
Consignee Employees,N/A,N/A,DROPPED,93.0,,,Dropped,
Consignee Fax,N/A,N/A,DROPPED,+1 713 923 6272,,,Dropped,
Consignee Full Address,N/A,N/A,DROPPED,"8050, Harrisburg Blvd, Houston, Texas, 77012, United States",,,Dropped,
Consignee Global HQ,N/A,N/A,DROPPED,Technip,,,Dropped,
Consignee Global HQ Address,N/A,N/A,DROPPED,United States,,,Dropped,
Consignee Global HQ D-U-N-S®,N/A,N/A,DROPPED,,,,Dropped,
Consignee Incorporation Year,N/A,N/A,DROPPED,1952.0,,,Dropped,
Consignee Industry,N/A,N/A,DROPPED,"Electronic Equipment, Instruments and Components",,,Dropped,
Consignee MI Key,N/A,N/A,DROPPED,5048100.0,,,Dropped,
Consignee Market Capitalization,N/A,N/A,DROPPED,,,,Dropped,
Consignee Phone 1,N/A,N/A,DROPPED,+1 713 924 9600,,,Dropped,
Consignee Phone 2,N/A,N/A,DROPPED,+1 905 364 3153,,,Dropped,
Consignee Phone 3,N/A,N/A,DROPPED,+1 346 229 2711,,,Dropped,
Consignee Postal Code,N/A,N/A,DROPPED,77012,,,Dropped,
Consignee Profile,N/A,N/A,DROPPED,https://panjiva.com/Fire-Protection-Service/3739601,,,Dropped,
Consignee Revenue,N/A,N/A,DROPPED,16541450.0,,,Dropped,
Consignee SIC Codes,Consignee SIC Codes,Consignee SIC Codes,KEPT,7389,5551,"2037, 4222",Kept,
Consignee SPCIQ ID,N/A,N/A,DROPPED,4592672.0,,,Dropped,
Consignee State/Region,N/A,N/A,DROPPED,Texas,,,Dropped,
Consignee Stock Tickers,N/A,N/A,DROPPED,,,,Dropped,
Consignee Trade Roles,N/A,N/A,DROPPED,Manufacturer,,,Dropped,
Consignee Ultimate Parent,N/A,N/A,DROPPED,"Fire Protection Service, Inc.",,,Dropped,
Consignee Ultimate Parent Headquarters Address,N/A,N/A,DROPPED,"8050 Harrisburg Boulevard, Houston Texas 77012, United States",,,Dropped,
Consignee Ultimate Parent MI Key,N/A,N/A,DROPPED,5048100.0,,,Dropped,
Consignee Ultimate Parent Profile,N/A,N/A,DROPPED,https://panjiva.com/Fire-Protection-Service-Inc/54952351,,,Dropped,
Consignee Ultimate Parent SPCIQ ID,N/A,N/A,DROPPED,4592672.0,,,Dropped,
Consignee Ultimate Parent Stock Tickers,N/A,N/A,DROPPED,"NYSE:HAL, BOVESPA:HALI34",,,Dropped,
Consignee Ultimate Parent Website,N/A,N/A,DROPPED,www.fps-usa.com,,,Dropped,
Consignee Unified,N/A,N/A,DROPPED,,,,Dropped,
Consignee Website 1,N/A,N/A,DROPPED,fps-usa.com,,,Dropped,
Consignee Website 2,N/A,N/A,DROPPED,,,,Dropped,
Container Marks,N/A,N/A,DROPPED,424156 070004 574118 575077 564080,,,Dropped,
Container Numbers,N/A,N/A,DROPPED,NC,,,Dropped,
Container Type of Service,N/A,N/A,DROPPED,Non-containerized,,,Dropped,
Container Types,N/A,N/A,DROPPED,,,,Dropped,
Count,Count,Count,KEPT,,1,1,Kept,
Dangerous Goods,N/A,N/A,DROPPED,false,,,Dropped,
Divided/LCL,N/A,N/A,DROPPED,N,,,Dropped,
FROB,N/A,N/A,DROPPED,,,,Dropped,
Filter,,,KEPT,,,,Kept,
Goods Shipped,Goods Shipped,Goods Shipped,KEPT,LIFE RAFTS FOR EXCHANGE,SEALED PLTS DOG & CAT FOOD,BENZENE AND MIXTURES HAVING 10 BENZENE OR MOR MORE,Kept,
Group,,,KEPT,,,,Kept,
HS Code,HS Code Desc.,HS Code Desc.,KEPT,Classified: 8907.10,Classified: 2309.10,Classified: 8703.90,Renamed,
Has LCL,N/A,N/A,DROPPED,,,,Dropped,
Inbond Code,N/A,N/A,DROPPED,,,,Dropped,
Industry - GICS,N/A,N/A,DROPPED,25202010,,,Dropped,
Industry - GICS Description,N/A,N/A,DROPPED,Leisure Products,,,Dropped,
Is Containerized,Is Containerized,Is Containerized,KEPT,,,,Kept,
Manifest Number,N/A,N/A,DROPPED,139103.0,,,Dropped,
Master Bill of Lading Number,N/A,N/A,DROPPED,IDMCB232652001,,,Dropped,
Matching Fields,N/A,N/A,DROPPED,,,,Dropped,
Measurement,Measurement,Measurement,KEPT, , CF, ,Kept,
Notify Party,Notify Party,Notify Party,KEPT,"HALLIBURTON  ENERGY SERVICES INC
3101 COUNTY ROAD 401, ALVARADO TX 76009-7137 US, HOUSTON TX 76009","DR. JANE REYNOLDS DBA PAWS VETERINA
PO BOX 502235, ST. THOMAS VI 00805, TE340-775-6623","EXXON TEAM
BDP INTERNATIONAL INC 4690 WORLD, HOUSTON PARKWAY HOUSTON TX 77032",Kept,
Notify Party SCAC,N/A,N/A,DROPPED,IDMC - Industrial Maritime Carriers Llc,,,Dropped,
Notify Unified,N/A,N/A,DROPPED,,,,Dropped,
Number of Containers,N/A,N/A,DROPPED,1.0,,,Dropped,
Place of Receipt,Place of Receipt (F),Place of Receipt (F),KEPT,HOUSTON,"SAN JUAN, PR",SARNIA,Renamed,
Port of Lading,Port of Loading (F),Port of Loading (F),KEPT,"Altamira, Mexico","Charlotte Amalie, St. Th, Virgin Islands (U.S.)","Sarnia, Ont, Canada",Renamed,
Port of Lading Country,Country of Origin (F),Country of Origin (F),KEPT,Mexico,Virgin Islands (U.S.),Canada,Renamed,
Port of Lading Region,N/A,N/A,DROPPED,North America,,,Dropped,
Port of Unlading,Port of Discharge (D),Port of Discharge (D),KEPT,"Houston, Houston, Texas","Cyril E King Airport, Charlotte Amalie, Virgin Islands","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",Renamed,
Port of Unlading Region,N/A,N/A,DROPPED,Southwest Region,,,Dropped,
Quantity,Qty,Qty,KEPT,5 PCS,2,1,Renamed,
Report 1,N/A,N/A,DROPPED,,,,Dropped,
Report 2,N/A,N/A,DROPPED,,,,Dropped,
Report 3,N/A,N/A,DROPPED,,,,Dropped,
