source_file,file_path,grid_reference,column_letter,column_number,column_name,data_type,null_percentage,unique_count,sample_values,concept_id,concept_name,semantic_category,validation_rule,total_rows,total_columns,created_date,last_updated,reconciliation_logic
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,A-1,A,1,RECID,numeric,0.0,1000,"4587, 45002, 23321",,UNMAPPED,UNMAPPED,,1000,44,2026-01-21,2026-01-21,N/A
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,B-2,B,2,Count,numeric,0.0,1,"1, 1, 1",CARGO_007,Quantity,CARGO,"integer, > 0",1000,44,2026-01-21,2026-01-21,If all sources match → use as-is; if 2+ match → majority value; else flag as error
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,C-3,C,3,TYPEDOC,text,0.0,1,"Imports, Imports, Imports",VESSEL_003,Vessel Type,VESSEL,"categorical, not_null",1000,44,2026-01-21,2026-01-21,If all sources match → use as-is; if 2+ match → majority value; else flag as error
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,D-4,D,4,Arrival_Date,text,0.0,334,"2023-12-16, 2023-11-06, 2023-06-27",DOCUMENT_003,Arrival Date,DOCUMENT,date format YYYY-MM-DD,1000,44,2026-01-21,2026-01-21,If all sources match → use as-is; if 2+ match → majority value; else flag as error
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,E-5,E,5,PORT,numeric,0.0,125,"2160, 2393, 2393",PORT_001,Port Name,PORT,"not_null, exists in port dictionary",1000,44,2026-01-21,2026-01-21,Use us_port_dictionary Port_Consolidated as standard; map via Port_Code
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,F-6,F,6,Arrival_Port_Name,text,0.0,125,"Canaveral Port District, FL, Beaumont, TX, Beaumont, TX",PORT_001,Port Name,PORT,"not_null, exists in port dictionary",1000,44,2026-01-21,2026-01-21,Use us_port_dictionary Port_Consolidated as standard; map via Port_Code
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,G-7,G,7,US_Port_USACE,text,0.0,125,"Canaveral Port District, FL, Beaumont, TX, Beaumont, TX",PORT_001,Port Name,PORT,"not_null, exists in port dictionary",1000,44,2026-01-21,2026-01-21,Use us_port_dictionary Port_Consolidated as standard; map via Port_Code
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,H-8,H,8,Port_Consolidated,text,1.2,26,"North Florida, Sabine River, Sabine River",PORT_001,Port Name,PORT,"not_null, exists in port dictionary",1000,44,2026-01-21,2026-01-21,Use us_port_dictionary Port_Consolidated as standard; map via Port_Code
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,I-9,I,9,Port_Coast,text,1.2,7,"East, Gulf, Gulf",PORT_004,Port Coast,PORT,"categorical (Atlantic, Pacific, Gulf, Great Lakes)",1000,44,2026-01-21,2026-01-21,If all sources match → use as-is; if 2+ match → majority value; else flag as error
usace_2023_entrance_AUTHORITATIVE_v1.0.0,G:\My Drive\LLM\project_manifest\00_DATA\00.02_PREPROCESSED\usace_2023_entrance_AUTHORITATIVE_v1.0.0.csv,J-10,J,10,Port_Region,text,1.2,11,"South Atlantic, North Texas, North Texas",PORT_003,Port Region,PORT,categorical,1000,44,2026-01-21,2026-01-21,If all sources match → use as-is; if 2+ match → majority value; else flag as error
