Column_Name,Sample_Value
PORTCALL_ID,PC_000001
Record_Type,BOTH
Vessel_Name,ST. MARYS CHALLENGER
IMO,5009984.0
Flag_Country,United States of America
ICST_Vessel_Type,OTHER DRY CARGO BARGE NEI
Rig_Description,"Barge, Scow"
Vessel_Type_Registry,nan
DWT,11543.0
Grain_Capacity_m3,0.0
TPC,0.0
DWT_Draft_ft,21.23
Arrival_Date,2023-05-03
Clearance_Date,2023-06-11
Port_Stay_Days,39.0
Entrance_Port_USACE,Lake Michigan
Entrance_Draft_ft,18.0
Entrance_Draft_in,0.0
Entrance_Draft_Pct_Max,84.8
Entrance_Activity,Discharge
Entrance_Origin,Foreign
Entrance_Previous_Port,"Owen Sound, ONT"
Entrance_Previous_Country,Canada
Clearance_Port_USACE,Lake Michigan
Clearance_Draft_ft,18.0
Clearance_Draft_in,0.0
Clearance_Draft_Pct_Max,84.8
Clearance_Activity,Discharge
Clearance_Destination,Foreign
Clearance_Next_Port,"Owen Sound, ONT"
Clearance_Next_Country,Canada
Port_Consolidated,nan
Port_Coast,nan
Port_Region,nan
Import_Carrier,nan
Import_Cargo_Group,nan
Import_Cargo_Commodity,nan
Import_Tons,nan
Export_Shipper,nan
Export_Cargo_Group,Dry Bulk
Export_Cargo_Commodity,Barge
Export_Tons,nan
Grain_Export,False
Agency_Fee_Default,2000
Agency_Fee_Adjusted,2000
User_Notes,nan
