Column_Name,Sample_Value
PORTCALL_ID,PC_000001
Record_Type,BOTH
Vessel_Name,ST. MARYS CHALLENGER
IMO,5009984.0
Flag_Country,United States of America
ICST_Vessel_Type,OTHER DRY CARGO BARGE NEI
Rig_Description,"Barge, Scow"
Vessel_Type_Registry,nan
DWT,11543.0
NRT,5136.0
GRT,6969.0
Grain_Capacity_m3,0.0
TPC,0.0
DWT_Draft_m,6.471
DWT_Draft_ft,21.23
Registry_Match_Method,IMO
Arrival_Date,2023-05-03
Clearance_Date,2023-06-11
Port_Stay_Days,39.0
Entrance_RECID,80588.0
Entrance_Port_Name,Lake Michigan
Entrance_Port_USACE,Lake Michigan
Entrance_Port_Code,3701.0
Entrance_Draft_ft,18.0
Entrance_Draft_in,0.0
Entrance_Draft_Pct_Max,84.8
Entrance_Activity,Discharge
Entrance_Origin,Foreign
Entrance_Previous_Port,"Owen Sound, ONT"
Entrance_Previous_Country,Canada
Clearance_RECID,81529.0
Clearance_Port_Name,Lake Michigan
Clearance_Port_USACE,Lake Michigan
Clearance_Port_Code,3701.0
Clearance_Draft_ft,18.0
Clearance_Draft_in,0.0
Clearance_Draft_Pct_Max,84.8
Clearance_Activity,Discharge
Clearance_Destination,Foreign
Clearance_Next_Port,"Owen Sound, ONT"
Clearance_Next_Country,Canada
Port_Consolidated,nan
Port_Coast,nan
Port_Region,nan
Import_VOY_RECID,nan
Import_Carrier,nan
Import_Cargo_Group,nan
Import_Cargo_Commodity,nan
Import_Tons,nan
Import_Match_Days_Offset,nan
Import_Match_Pass,nan
Import_Match_Method,nan
Export_VOY_RECID,nan
Export_Shipper,nan
Export_Cargo_Group,Dry Bulk
Export_Cargo_Commodity,Barge
Export_Tons,nan
Export_Match_Days_Offset,nan
Export_Match_Pass,nan
Export_Match_Method,nan
Grain_Export,False
FGIS_RECID,nan
Grain_Type,nan
Grain_Detail,nan
Grain_MT,nan
Grain_Pounds,nan
Grain_Match_Quality,nan
Match_Score,0.8
Match_Method,IMO
Tug_Barge_Pair_ID,nan
Tug_Barge_Confidence,nan
USFlag_CG_Number,202859.0
USFlag_ICST_Code,229.0
USFlag_ICST_Description,nan
USFlag_HP,3000.0
USFlag_Length_ft,530.0
USFlag_Beam_ft,56.2
USFlag_Capacity_Tons,10250.0
USFlag_Year_Built,1906.0
USFlag_Base_Port,MUSKEGON
USFlag_State,MI
USFlag_Match_Quality,EXACT_MATCH
Agency_Fee_Default,2000
Agency_Fee_Adjusted,2000
User_Notes,nan
