IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
1004156,SUMURUN,,,0,0,5.06,3.35,50,46,0,0,3.32,Ship Results (61).xlsx
1004338,MAKAI,,,0,0,6.1,0,118,35,0,0,1.52,Ship Results (61).xlsx
1006025,ARRIVEDERCI IV,,,0,0,7.45,3.76,223,66,0,0,1.2,Ship Results (61).xlsx
1007823,LEVERAGE,,,66,35.28,8,5.3,380,114,0,0,2.395,Ship Results (61).xlsx
1011903,W,,,0,0,0,5.28,957,287,0,0,3.45,Ship Results (61).xlsx
1012270,ADVENTURESS,,,0,0,5.21,2.69,96,0,0,0,2.9,Ship Results (61).xlsx
1012373,ONIKA,,,0,0,8.86,4.56,464,0,0,0,2.29,Ship Results (61).xlsx
1012531,AMADEA,,,559,87.828,18.3,7.45,4402,1321,0,0,4.1,Ship Results (61).xlsx
1012995,COLUMBIA,,,0,0,8.94,3.74,145,43,0,0,2.91,Ship Results (61).xlsx
1013169,MSC SERENA,CIMC ORIC 11500,Containership-Sub New Panamax,139000,0,0,25,107062,64177,0,0,16,Ship Results (44).xlsx
1013171,MSC ELIANA,CIMC ORIC 11500,Containership-Sub New Panamax,139000,0,0,25,107062,64177,0,0,16,Ship Results (44).xlsx
1013315,MARTA COSULICH,,"Tanker-7,500-9,999dwt",7957,97.55,0,9.3,4903,2465,0,17.5,7.07,Ship Results (26).xlsx
1013327,MARINE GINZA,,"Tanker-7,500-9,999dwt",7950,97.55,0,9.6,4903,2465,0,17.5,7.07,Ship Results (26).xlsx
1013432,JFE KOKURYU,,Ro-ro cargo <=499 LM,5026,112.31,0,9.9,8611,0,0,0,5.168,Ship Results (51).xlsx
1013602,MERANTI 706,,,240,0,0,2.76,190,57,0,0,0,Ship Results (51).xlsx
1013638,SG DAWN,Imabari 211,Bulk Carrier-Newcastlemax,210125,296.02,0,25,110845,66879,222146,0,18.436,Ship Results (5).xlsx
1013640,CAPE SUZURAN,Imabari 181,Bulk Carrier-Capesize,182098,0,45.038,24.7,94321,60970,201472,0,18.246,Ship Results.xlsx
1013652,BOOTES,Imabari 40,Bulk Carrier-Handymax,40093,176.56,0,15,25240,12883,50207,0,10.483,Ship Results (1).xlsx
1013664,AFRICAN PEACOCK,Imabari 40,Bulk Carrier-Handymax,40093,176.56,0,15,25240,12883,50208,0,10.483,Ship Results (1).xlsx
1013676,AQUADONNA,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63526,195.4,32.292,19.3,36278,21173,81198,0,13.53,Ship Results (13).xlsx
